CONTAINER ID        NAME                                          CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
9cbf7de5e059        dev-peer0.org1.example.com-idmnetwork-1.0.4   25.16%              98.43MiB / 2GiB       4.81%               9.01MB / 9.37MB     122MB / 12.3kB      23
21359f5303c4        peer1.org1.example.com                        20.68%              53.24MiB / 7.237GiB   0.72%               17MB / 16.3MB       50.2MB / 16.1MB     12
792281940d0d        peer0.org1.example.com                        28.38%              54.66MiB / 7.237GiB   0.74%               29.9MB / 32.3MB     7.61MB / 16.1MB     13
96a31da47f12        couchdb1                                      62.74%              102.1MiB / 7.237GiB   1.38%               4.96MB / 8.63MB     63MB / 27MB         29
e6c3d04e54ee        orderer.example.com                           3.85%               20.97MiB / 7.237GiB   0.28%               4.21MB / 10.2MB     47.4MB / 11.7MB     11
1e4b47fe2bcf        couchdb                                       71.23%              103.3MiB / 7.237GiB   1.39%               7.23MB / 14.7MB     5.27MB / 27MB       29
8f917c20d9f1        ca.org1.example.com                           0.00%               6.273MiB / 7.237GiB   0.08%               60.8kB / 0B         36.2MB / 221kB      6
CONTAINER ID        NAME                                          CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
c96dd7cc1e2a        dev-peer1.org1.example.com-idmnetwork-1.0.4   23.59%              109.8MiB / 2GiB       5.36%               5.03MB / 4.25MB     50.9MB / 12.3kB     23
9cbf7de5e059        dev-peer0.org1.example.com-idmnetwork-1.0.4   20.34%              98.51MiB / 2GiB       4.81%               9.42MB / 9.7MB      122MB / 12.3kB      23
21359f5303c4        peer1.org1.example.com                        34.42%              54.44MiB / 7.237GiB   0.73%               18.4MB / 17.4MB     50.2MB / 17.1MB     12
792281940d0d        peer0.org1.example.com                        32.68%              55.47MiB / 7.237GiB   0.75%               31.2MB / 33.4MB     7.66MB / 17.1MB     13
96a31da47f12        couchdb1                                      95.51%              102.9MiB / 7.237GiB   1.39%               5.36MB / 9.36MB     63MB / 27.8MB       29
e6c3d04e54ee        orderer.example.com                           0.01%               20.98MiB / 7.237GiB   0.28%               4.42MB / 11MB       47.4MB / 12.5MB     11
1e4b47fe2bcf        couchdb                                       96.05%              102.7MiB / 7.237GiB   1.39%               7.64MB / 15.4MB     5.27MB / 27.7MB     29
8f917c20d9f1        ca.org1.example.com                           0.00%               6.273MiB / 7.237GiB   0.08%               60.8kB / 0B         36.2MB / 221kB      6
CONTAINER ID        NAME                                          CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
c96dd7cc1e2a        dev-peer1.org1.example.com-idmnetwork-1.0.4   16.99%              110.4MiB / 2GiB       5.39%               5.36MB / 4.53MB     50.9MB / 12.3kB     23
9cbf7de5e059        dev-peer0.org1.example.com-idmnetwork-1.0.4   19.20%              99.5MiB / 2GiB        4.86%               9.77MB / 9.99MB     122MB / 12.3kB      23
21359f5303c4        peer1.org1.example.com                        25.31%              55.34MiB / 7.237GiB   0.75%               19.5MB / 18.4MB     50.3MB / 17.8MB     12
792281940d0d        peer0.org1.example.com                        26.58%              56.22MiB / 7.237GiB   0.76%               32.3MB / 34.4MB     7.66MB / 17.8MB     13
96a31da47f12        couchdb1                                      74.44%              104.3MiB / 7.237GiB   1.41%               5.68MB / 9.94MB     63MB / 30.8MB       29
e6c3d04e54ee        orderer.example.com                           0.61%               20.99MiB / 7.237GiB   0.28%               4.61MB / 11.5MB     47.4MB / 13.1MB     11
1e4b47fe2bcf        couchdb                                       63.86%              104.1MiB / 7.237GiB   1.40%               7.96MB / 16MB       5.27MB / 29.3MB     29
8f917c20d9f1        ca.org1.example.com                           0.00%               6.273MiB / 7.237GiB   0.08%               60.8kB / 0B         36.2MB / 221kB      6
CONTAINER ID        NAME                                          CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
c96dd7cc1e2a        dev-peer1.org1.example.com-idmnetwork-1.0.4   28.80%              110.4MiB / 2GiB       5.39%               5.7MB / 4.8MB       50.9MB / 12.3kB     23
9cbf7de5e059        dev-peer0.org1.example.com-idmnetwork-1.0.4   28.64%              99.52MiB / 2GiB       4.86%               10.1MB / 10.2MB     122MB / 12.3kB      23
21359f5303c4        peer1.org1.example.com                        33.91%              55.56MiB / 7.237GiB   0.75%               20.5MB / 19.3MB     50.3MB / 18.4MB     12
792281940d0d        peer0.org1.example.com                        31.45%              56.54MiB / 7.237GiB   0.76%               33.3MB / 35.3MB     7.68MB / 18.4MB     13
96a31da47f12        couchdb1                                      97.00%              104MiB / 7.237GiB     1.40%               5.99MB / 10.5MB     63.1MB / 34.3MB     29
e6c3d04e54ee        orderer.example.com                           0.02%               21MiB / 7.237GiB      0.28%               4.78MB / 12MB       47.4MB / 13.6MB     11
1e4b47fe2bcf        couchdb                                       89.61%              106.3MiB / 7.237GiB   1.43%               8.26MB / 16.6MB     5.31MB / 33.2MB     29
8f917c20d9f1        ca.org1.example.com                           0.00%               6.273MiB / 7.237GiB   0.08%               60.8kB / 0B         36.2MB / 221kB      6
CONTAINER ID        NAME                                          CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
c96dd7cc1e2a        dev-peer1.org1.example.com-idmnetwork-1.0.4   12.13%              110.9MiB / 2GiB       5.42%               6.02MB / 5.06MB     50.9MB / 12.3kB     23
9cbf7de5e059        dev-peer0.org1.example.com-idmnetwork-1.0.4   11.95%              99.54MiB / 2GiB       4.86%               10.4MB / 10.5MB     122MB / 12.3kB      23
